Publisher Name,Publisher Registry Id,Core Average (with valid data),Financials Average (with valid data),Value Added Average (with valid data),Weighted Average (with valid data),Core Average (with any data),Financials Average (with any data),Value Added Average (with any data),Weighted Average (with any data)
3F International,3fi,100.0,75.0,11.11111111111111,71.52777777777777,100.0,75.0,11.11111111111111,71.52777777777777
50 Eight Limited,fifty_eight,100.0,50.0,44.44444444444444,73.61111111111111,100.0,50.0,44.44444444444444,73.61111111111111
Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),ask,90.0,37.5,16.666666666666668,58.541666666666664,100.0,37.5,16.666666666666668,63.541666666666664
Aasaman Nepal,aasaman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABAAD - Resource Center for Gender Equality,arcfge,98.46153846153847,79.16666666666666,18.803418803418804,73.7232905982906,100.0,79.16666666666666,18.803418803418804,74.49252136752136
Abaseen Foundation UK,abaseen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul Latif Jameel Poverty Action Lab at MIT,jpal,100.0,70.83333333333333,16.666666666666668,71.875,100.0,70.83333333333333,16.666666666666668,71.875
Able Child Africa,ablechildafrica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abt Associates Inc,abt,95.0,50.0,27.77777777777778,66.94444444444444,100.0,62.5,27.77777777777778,72.56944444444444
Abt Britain Limited,abtbritain,96.66666666666666,58.33333333333333,55.55555555555555,76.80555555555554,100.0,58.33333333333333,55.55555555555555,78.47222222222221
Acacia Water,aw,90.0,100.0,77.77777777777777,89.44444444444444,100.0,100.0,77.77777777777777,94.44444444444444
Academy for Health Development (AHEAD),ahead,90.0,100.0,22.22222222222222,75.55555555555556,100.0,100.0,22.22222222222222,80.55555555555556
Académie de recherche et d'enseignement supérieur,ares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accelerator Nepal,acceleratornepal,100.0,50.0,22.22222222222222,68.05555555555556,100.0,50.0,22.22222222222222,68.05555555555556
Access to Medicine Foundation,atmf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Access to Seeds Foundation,atsf,92.30769230769229,0.0,21.36752136752137,51.49572649572649,100.0,0.0,21.36752136752137,55.34188034188034
Accountability Lab,alab,95.0,75.0,38.888888888888886,75.97222222222223,100.0,75.0,38.888888888888886,78.47222222222223
Accountable Now,accountablenow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
