Publisher Name,Publisher Registry Id,Contacts (with valid data),Location Details (with valid data),Geographic Coordinates (with valid data),DAC Sectors (with valid data),Capital Spend (with valid data),Activity Documents (with valid data),Aid Type (with valid data),Recipient Language (with valid data),Result/ Indicator (with valid data),Average (with valid data),Contacts (with any data),Location Details (with any data),Geographic Coordinates (with any data),DAC Sectors (with any data),Capital Spend (with any data),Activity Documents (with any data),Aid Type (with any data),Recipient Language (with any data),Result/ Indicator (with any data),Average (with any data)
3F International,3fi,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-,0.0,11.11111111111111
50 Eight Limited,fifty_eight,100.0,0.0,0.0,100.0,100.0,0.0,100.0,-,0.0,44.44444444444444,100.0,0.0,0.0,100.0,100.0,0.0,100.0,-,0.0,44.44444444444444
Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),ask,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,16.666666666666668,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,16.666666666666668
Aasaman Nepal,aasaman,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
ABAAD - Resource Center for Gender Equality,arcfge,7.6923076923076925,0.0,0.0,100.0,0.0,7.6923076923076925,15.384615384615385,0.0,38.46153846153847,18.803418803418804,7.6923076923076925,0.0,0.0,100.0,0.0,7.6923076923076925,15.384615384615385,0.0,38.46153846153847,18.803418803418804
Abaseen Foundation UK,abaseen,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Abdul Latif Jameel Poverty Action Lab at MIT,jpal,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,16.666666666666668,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,16.666666666666668
Able Child Africa,ablechildafrica,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Abt Associates Inc,abt,0.0,50.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,27.77777777777778,0.0,50.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,27.77777777777778
Abt Britain Limited,abtbritain,100.0,100.0,66.66666666666666,100.0,0.0,0.0,100.0,33.33333333333333,0.0,55.55555555555555,100.0,100.0,66.66666666666666,100.0,0.0,0.0,100.0,33.33333333333333,0.0,55.55555555555555
Acacia Water,aw,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,77.77777777777777,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,77.77777777777777
Academy for Health Development (AHEAD),ahead,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,22.22222222222222,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,22.22222222222222
Académie de recherche et d'enseignement supérieur,ares,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Accelerator Nepal,acceleratornepal,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222
Access to Medicine Foundation,atmf,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Access to Seeds Foundation,atsf,0.0,0.0,0.0,100.0,0.0,92.3076923076923,0.0,0.0,0.0,21.36752136752137,0.0,0.0,0.0,100.0,0.0,92.3076923076923,0.0,0.0,0.0,21.36752136752137
Accountability Lab,alab,0.0,0.0,0.0,100.0,0.0,100.0,0.0,50.0,100.0,38.888888888888886,0.0,0.0,0.0,100.0,0.0,100.0,0.0,50.0,100.0,38.888888888888886
Accountable Now,accountablenow,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
Acid Survivors Foundation,_admin,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,22.22222222222222,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,22.22222222222222
ACODEV,acodev,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,55.55555555555556,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,55.55555555555556
Across,across,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
ACT Alliance,act_alliance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
act4africa,act4africa,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
ACTED,acted,75.0,0.0,0.0,50.0,0.0,50.0,0.0,25.0,50.0,27.77777777777778,75.0,0.0,0.0,50.0,0.0,50.0,0.0,25.0,50.0,27.77777777777778
ACTION AGAINST HUNGER SPAIN,acfspain,0.0,0.0,0.0,100.0,0.0,0.0,0.0,37.5,0.0,15.277777777777779,0.0,0.0,0.0,100.0,0.0,0.0,0.0,37.5,0.0,15.277777777777779
Action Against Hunger UK,acf,40.0,2.5,0.0,100.0,0.0,10.0,7.5,30.303030303030305,0.0,21.144781144781145,40.0,2.5,0.0,100.0,0.0,10.0,7.5,30.303030303030305,0.0,21.144781144781145
Action Against Hunger USA,aahusa,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111
Action Aid Cambodia,aac,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111
